,year,month,night_safari,river_wonders,singapore_zoo,wet_bulb_temperature,no_of_rainy_days,mean_rh,total_rainfall,mean_sunshine_hrs,mean_temp
60,2017,2017-08-01,139.8,110.8,200.9,25.39059139784946,18.0,79.9,84.2,6.1,28.1
61,2017,2017-07-01,130.0,91.9,187.5,25.50577956989247,9.0,79.6,79.6,7.0,28.3
62,2017,2017-06-01,112.6,87.3,160.2,25.75847222222222,10.0,80.2,106.0,6.3,28.5
63,2017,2017-05-01,109.7,78.8,148.2,26.114650537634407,15.0,82.8,190.0,5.9,28.5
64,2017,2017-04-01,99.9,74.6,156.6,25.54638888888889,21.0,83.5,208.6,5.3,27.8
65,2017,2017-03-01,92.6,70.4,145.5,24.988440860215057,11.0,82.5,136.2,6.1,27.4
66,2017,2017-02-01,92.5,60.8,133.1,24.679464285714282,15.0,83.2,158.4,7.1,26.9
67,2017,2017-01-01,103.8,73.1,161.9,24.893010752688173,21.0,84.8,197.6,4.8,26.9
68,2016,2016-12-01,98.0,101.9,198.5,23.570833333333333,23.0,72.8,292.6,5.1,27.4
69,2016,2016-11-01,67.4,56.9,117.4,24.353194444444444,20.0,77.6,290.2,3.5,27.4
70,2016,2016-10-01,85.4,75.6,134.9,24.35282258064516,16.0,72.0,181.0,4.6,28.3
71,2016,2016-09-01,75.0,55.1,119.0,24.610138888888887,15.0,73.9,118.9,5.5,28.3
72,2016,2016-08-01,132.8,95.8,188.9,25.236155913978497,15.0,74.0,139.2,6.7,28.9
73,2016,2016-07-01,130.0,89.5,183.8,25.259543010752687,20.0,77.3,168.6,6.3,28.4
74,2016,2016-06-01,99.3,73.8,144.5,25.419166666666666,13.0,77.7,162.8,5.4,28.5
75,2016,2016-05-01,101.0,67.5,149.2,26.075806451612905,12.0,77.4,193.8,6.2,29.3
76,2016,2016-04-01,81.7,54.4,128.0,25.945277777777775,14.0,75.6,89.8,7.0,29.4
77,2016,2016-03-01,91.0,60.6,144.2,25.40456989247312,6.0,74.7,6.2,8.0,29.0
78,2016,2016-02-01,91.4,57.6,153.7,24.938505747126438,10.0,78.8,186.0,6.5,27.8
79,2016,2016-01-01,97.5,54.2,134.9,25.472580645161287,15.0,79.6,126.6,7.2,28.3
80,2015,2015-12-01,97.0,90.3,187.4,25.13037634408602,19.0,81.1,302.3,5.3,27.7
81,2015,2015-11-01,74.6,59.4,125.8,25.090416666666666,13.0,79.1,72.6,4.8,28.0
82,2015,2015-10-01,87.2,54.7,106.2,25.2127688172043,9.0,75.4,87.2,4.7,28.7
83,2015,2015-09-01,80.7,56.3,115.8,25.183611111111112,8.0,75.0,61.6,4.3,28.7
84,2015,2015-08-01,137.3,119.7,223.3,25.17755376344086,11.0,76.7,185.8,6.1,28.4
85,2015,2015-07-01,127.1,82.8,184.5,25.54422043010753,13.0,74.9,116.8,7.1,29.1
86,2015,2015-06-01,93.9,87.1,190.1,25.58625,10.0,75.8,95.8,6.7,29.0
87,2015,2015-05-01,101.2,73.3,153.1,25.795564516129033,12.0,78.9,89.0,5.8,28.7
88,2015,2015-04-01,78.8,56.1,133.3,25.373055555555553,13.0,77.1,73.2,7.2,28.6
89,2015,2015-03-01,80.4,53.7,127.9,24.765860215053763,5.0,75.8,84.4,7.3,28.2
90,2015,2015-02-01,106.1,59.2,156.3,23.633035714285715,6.0,75.4,18.8,7.3,27.0
